Year,Word,Num Words
2004,friendly,1
2004,e,1
2004,appearances,1
2004,now,1
2004,very,2
2004,in,11
2004,unturned,1
2004,years,1
2004,jersey,2
2004,him,3
2004,w,1
2004,can,1
2004,become,1
2004,gov,2
2004,forcing,1
2004,corruption,1
2004,fortune,2
2004,one,2
2004,paramus,1
2004,school,1
2004,reporter,1
2004,fresh,1
2004,way,2
2004,coach,1
2004,states,1
2004,been,1
2004,of,10
2004,team,1
2004,next,1
2004,i,1
2004,patron,1
2004,job,1
2004,immeasurable,1
2004,man,3
2004,get,1
2004,leave,1
2004,ferocious,1
2004,day,1
2004,differences,1
2004,christopher,1
2004,professor,1
2004,responded,1
2004,presidents,1
2004,essex,1
2004,up,2
2004,s,10
2004,oddity,1
2004,expected,1
2004,elected,1
2004,compared,1
2004,has,4
2004,announcing,1
2004,replacing,1
2004,shying,1
2004,children,1
2004,excellent,1
2004,christie,3
2004,just,1
2004,don,1
2004,appear,1
2004,to,13
2004,wall,1
2004,limited,1
2004,friends,1
2004,campaign,1
2004,united,1
2004,parade,1
2004,more,2
2004,codey,6
2004,will,1
2004,this,1
2004,tout,1
2004,learned,1
2004,perseverance,1
2004,outcome,1
2004,having,1
2004,ridicule,1
2004,no,1
2004,was,2
2004,envy,1
2004,with,1
2004,terrorists,1
2004,ratings,1
2004,game,2
2004,fundamentals,1
2004,until,1
2004,j,6
2004,big,1
2004,official,1
2004,sensible,1
2004,popular,1
2004,somewhat,1
2004,or,2
2004,theirs,1
2004,own,1
2004,district,1
2004,plan,1
2004,interesting,1
2004,between,1
2004,endure,1
2004,york,1
2004,marched,1
2004,marvel,1
2004,basketball,1
2004,for,3
2004,governors,1
2004,keep,1
2004,county,1
2004,you,4
2004,the,15
2004,about,1
2004,mcgreevey,3
2004,mr,5
2004,corzine,2
2004,race,1
2004,like,1
2004,appointing,1
2004,opponents,1
2004,became,2
2004,wide,1
2004,it,1
2004,on,2
2004,baby,1
2004,state,5
2004,stepped,1
2004,not,1
2004,away,1
2004,consider,1
2004,george,1
2004,during,1
2004,james,1
2004,kissed,1
2004,hear,1
2004,before,1
2004,terms,1
2004,battle,1
2004,jon,2
2004,colleagues,1
2004,less,1
2004,pillar,1
2004,is,8
2004,protecting,1
2004,would,1
2004,off,1
2004,candidate,1
2004,world,1
2004,acting,3
2004,any,1
2004,week,1
2004,senate,1
2004,budget,1
2004,whose,3
2004,whom,1
2004,still,1
2004,mall,1
2004,gover,1
2004,be,3
2004,national,1
2004,are,1
2004,great,1
2004,at,2
2004,richard,5
2004,shoes,1
2004,who,1
2004,easygoing,1
2004,stone,1
2004,promised,1
2004,master,1
2004,predator,1
2004,fact,1
2004,his,11
2004,productive,1
2004,street,1
2004,appeared,1
2004,considered,1
2004,and,6
2004,simply,1
2004,why,1
2004,t,1
2004,elections,1
2004,34th,1
2004,glutton,1
2004,ever,1
2004,whether,1
2004,poll,1
2004,exceptional,1
2004,shown,1
2004,that,4
2004,soft,1
2004,legislative,1
2004,spoken,1
2004,monday,1
2004,there,1
2004,days,1
2004,appearance,1
2004,into,1
2004,out,1
2004,rule,1
2004,introduced,1
2004,nearly,1
2004,play,1
2004,an,2
2004,three,1
2004,most,3
2004,yet,2
2004,deal,1
2004,even,1
2004,woolly,1
2004,resi,1
2004,new,5
2004,he,9
2004,last,1
2004,from,2
2004,as,6
2004,when,2
2004,jumped,1
2004,coming,1
2004,capacity,1
2004,under,1
2004,which,1
2004,advisers,1
2004,have,2
2004,attorney,1
2004,punishment,1
2004,much,1
2004,make,2
2004,governor,3
2004,res,1
2004,address,1
2004,so,1
2004,month,1
2004,bush,2
2004,wealthy,1
2004,plays,1
2004,microphone,1
2004,senator,2
2004,expect,1
2004,them,1
2004,pl,1
2004,by,2
2004,manner,1
2004,role,1
2004,electoral,1
2004,a,18
2004,question,1
2004,fabulously,1
2004,backers,1
2004,public,1
2004,administration,1
2004,open,1
2004,personal,1
2004,than,2
2004,fight,1
2000,difrancesco,1
2000,now,1
2000,trenton,1
2000,in,8
2000,bills,1
2000,anything,1
2000,real,1
2000,jersey,4
2000,jobs,1
2000,him,3
2000,calling,1
2000,can,1
2000,spends,1
2000,become,1
2000,hard,1
2000,and,8
2000,important,1
2000,protection,1
2000,if,1
2000,member,1
2000,political,1
2000,states,1
2000,things,1
2000,wanting,1
2000,of,11
2000,members,2
2000,somewhat,1
2000,congress,1
2000,work,1
2000,next,1
2000,triumvirate,1
2000,they,3
2000,pretty,1
2000,try,2
2000,leave,1
2000,times,1
2000,almost,1
2000,legislation,1
2000,again,1
2000,written,1
2000,lazies,1
2000,been,1
2000,turn,1
2000,up,1
2000,s,3
2000,knew,1
2000,darndest,1
2000,head,1
2000,over,2
2000,shadow,1
2000,options,1
2000,christie,1
2000,mayor,2
2000,businesses,1
2000,to,9
2000,election,1
2000,keeping,1
2000,will,3
2000,punditry,1
2000,senate,1
2000,still,3
2000,national,1
2000,at,1
2000,primas,1
2000,least,1
2000,has,2
2000,year,2
2000,is,7
2000,down,1
2000,no,1
2000,committee,1
2000,was,7
2000,happened,1
2000,with,3
2000,president,1
2000,concentrates,1
2000,donald,1
2000,flag,2
2000,deserved,1
2000,doesn,1
2000,democrats,1
2000,its,1
2000,occupies,1
2000,unfair,1
2000,hoping,1
2000,hundreds,1
2000,lot,1
2000,staff,1
2000,need,1
2000,television,1
2000,even,1
2000,prostrate,1
2000,camera,1
2000,concerns,1
2000,invites,1
2000,once,2
2000,reporters,1
2000,county,1
2000,slammed,2
2000,the,27
2000,time,3
2000,shift,1
2000,returns,1
2000,race,1
2000,like,1
2000,significance,1
2000,all,1
2000,winner,1
2000,perfect,1
2000,writing,1
2000,instead,1
2000,on,3
2000,officials,1
2000,state,1
2000,governor,3
2000,cracking,1
2000,mean,1
2000,that,6
2000,years,1
2000,gets,1
2000,going,1
2000,crowd,1
2000,here,1
2000,stretch,1
2000,improving,1
2000,call,1
2000,tour,1
2000,got,1
2000,ask,1
2000,environmental,1
2000,protecting,1
2000,city,1
2000,franks,2
2000,for,6
2000,fly,1
2000,her,1
2000,bloviate,1
2000,day,1
2000,wait,1
2000,politicians,1
2000,everything,1
2000,bags,1
2000,republican,2
2000,thinks,1
2000,be,2
2000,whitman,2
2000,who,2
2000,being,2
2000,woodbridge,1
2000,preparing,1
2000,hindsight,1
2000,should,1
2000,waving,1
2000,appeared,1
2000,supposed,1
2000,i,1
2000,han,1
2000,politics,2
2000,what,5
2000,proposing,1
2000,t,4
2000,agency,1
2000,resigns,1
2000,having,1
2000,life,1
2000,since,1
2000,it,6
2000,end,1
2000,out,1
2000,about,3
2000,powerful,1
2000,voters,1
2000,cushy,1
2000,jim,1
2000,hyperventilating,1
2000,write,1
2000,imperceptible,1
2000,10,1
2000,around,1
2000,other,2
2000,but,5
2000,already,1
2000,wetlands,1
2000,local,2
2000,bob,2
2000,whoever,1
2000,people,1
2000,lost,1
2000,a,6
2000,mcgreevey,1
2000,left,2
2000,eclipses,1
2000,pore,1
2000,new,5
2000,education,1
2000,from,2
2000,as,1
2000,bus,1
2000,delegation,1
2000,think,1
2000,says,1
2000,when,1
2000,unfairness,1
2000,how,2
2000,ruling,1
2000,he,4
2000,have,1
2000,packing,1
2000,much,1
2000,constitution,1
2000,make,1
2000,not,3
2000,republicans,1
2000,candidates,1
2000,aren,1
2000,so,2
2000,somerset,1
2000,randy,1
2000,do,1
2000,american,1
2000,representative,2
2000,congressional,2
2000,bill,1
2000,see,2
2000,kickoff,1
2000,his,3
2000,business,1
2000,most,3
2000,because,1
2000,office,4
2000,suppose,1
2000,open,1
2000,month,1
2000,alike,1
2000,power,1
2000,knowing,1
2008,conceal,1
2008,put,1
2008,take,1
2008,n,1
2008,in,4
2008,complicated,1
2008,cuffs,1
2008,jon,2
2008,problems,1
2008,jersey,1
2008,infighting,1
2008,did,2
2008,leaders,1
2008,barack,2
2008,is,3
2008,among,1
2008,cousins,1
2008,million,1
2008,turnout,1
2008,become,1
2008,hard,1
2008,gov,2
2008,and,5
2008,organization,1
2008,regular,1
2008,consultants,1
2008,andrea,1
2008,conspiring,1
2008,promoting,1
2008,year,1
2008,of,10
2008,notorious,1
2008,replacement,1
2008,economic,1
2008,joseph,2
2008,12,1
2008,contributions,1
2008,into,1
2008,indicted,1
2008,ownership,1
2008,representing,1
2008,beginning,1
2008,oppose,1
2008,talk,1
2008,postscript,1
2008,nation,1
2008,races,1
2008,chairman,1
2008,media,1
2008,35th,1
2008,campaigns,1
2008,elizabeth,1
2008,political,1
2008,panels,1
2008,they,2
2008,press,1
2008,what,1
2008,strategists,1
2008,why,1
2008,s,5
2008,suzi,2
2008,coming,1
2008,facing,1
2008,37th,2
2008,takes,1
2008,has,2
2008,conflicts,1
2008,former,1
2008,oppenheimer,2
2008,fund,1
2008,it,1
2008,mayor,1
2008,faces,1
2008,about,1
2008,corzine,2
2008,to,7
2008,election,1
2008,will,1
2008,managers,1
2008,campaign,2
2008,pension,1
2008,senate,2
2008,other,1
2008,were,1
2008,district,2
2008,techniques,1
2008,bergen,2
2008,local,1
2008,raising,1
2008,labor,1
2008,after,1
2008,head,1
2008,series,1
2008,but,1
2008,skip,1
2008,most,1
2008,no,1
2008,was,1
2008,signal,1
2008,republicans,1
2008,monday,1
2008,government,1
2008,new,2
2008,proposal,1
2008,expectations,1
2008,funds,1
2008,presidential,2
2008,resigned,1
2008,from,2
2008,as,1
2008,obama,3
2008,fixes,1
2008,stewart,1
2008,allow,1
2008,584,1
2008,which,1
2008,opposition,1
2008,ferriero,2
2008,accused,1
2008,have,2
2008,some,2
2008,democrat,1
2008,york,1
2008,quick,1
2008,conference,1
2008,interest,1
2008,seems,1
2008,party,2
2008,county,2
2008,the,17
2008,crisis,1
2008,oath,1
2008,strong,1
2008,record,1
2008,larchmont,1
2008,democratic,3
2008,phenomenon,1
2008,reforms,1
2008,pollsters,1
2008,a,8
2008,naming,1
2008,produced,1
2008,on,2
2008,office,1
2008,winners,1
2008,public,1
2008,state,2
2008,term,1
2008,finally,1
2008,feld,1
2008,fought,1
2008,that,2
2012,having,1
2012,account,2
2012,long,1
2012,scrap,1
2012,boehner,1
2012,principal,1
2012,in,6
2012,keep,1
2012,repairman,1
2012,provoking,1
2012,credit,1
2012,washington,1
2012,is,1
2012,fined,2
2012,dark,1
2012,can,1
2012,debt,2
2012,total,1
2012,billion,2
2012,more,1
2012,also,1
2012,does,1
2012,red,1
2012,history,1
2012,her,2
2012,school,1
2012,reporter,1
2012,we,1
2012,politicians,1
2012,regime,1
2012,selling,1
2012,american,1
2012,be,1
2012,of,7
2012,are,2
2012,at,1
2012,2,1
2012,mulling,1
2012,who,1
2012,process,1
2012,parties,1
2012,increasingly,1
2012,last,1
2012,influence,1
2012,bargain,1
2012,get,1
2012,laws,1
2012,blue,1
2012,nation,1
2012,collapsed,1
2012,reviews,1
2012,let,1
2012,indian,1
2012,outside,1
2012,political,1
2012,6,2
2012,like,1
2012,and,4
2012,trying,1
2012,information,1
2012,s,6
2012,groups,1
2012,by,3
2012,has,1
2012,commerce,1
2012,program,1
2012,woodward,2
2012,over,1
2012,actually,1
2012,retain,1
2012,russian,1
2012,it,2
2012,whether,1
2012,about,2
2012,these,1
2012,to,3
2012,election,1
2012,speaker,1
2012,will,1
2012,career,1
2012,people,1
2012,much,1
2012,nuclear,1
2012,job,1
2012,our,1
2012,confused,1
2012,hijacked,1
2012,father,1
2012,reported,1
2012,city,1
2012,bob,2
2012,nonprofit,1
2012,chamber,1
2012,year,1
2012,president,1
2012,bai,1
2012,deal,1
2012,voice,1
2012,exaggerate,1
2012,agenda,1
2012,matt,1
2012,sister,1
2012,lobbying,1
